"Tipo";"Tipo residencia";"Razón social";"Nombre";"Primer apellido";"Segundo apellido";"Dirección";"Código postal";"Poblacion";"Provincia";"Correo";"Contacto adicional";"Correo envio";"WSEndpointEfaktur";"WSOperation";"WSNamespace";"WSNodename";"Descripcion Departamento";"Departamento";"CIF";"Archivo Datos Contratante";"WSEndpointFACe";"FACe";;
0;0;"Armiñongo Udala / Ayuntamiento de Armiñon";;;;"Real 1 B";1220;"Armiñon";"Araba";"aarminon.dionisio@ayto.alava.net ";;;;;;;;;"P0100700D";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010066_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Arraia-Maeztuko Udala / Ayuntamiento de Arraia-Maeztu";;;;"Plaza Mayor 1";1120;"Maeztu";"Araba";"aarraia@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0103900G";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010376.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Arrazua-Ubarrundiako Udala / Ayuntamiento de Arrazua-Ubarrundia";;;;"Uribea 12";1520;"Durana";"Araba";"aarrazua.mvictoria@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0100900J";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010088.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Artziniegako Udala / Ayuntamiento de Artziniega";;;;"Plaza Garai 1";1474;"Artziniega";"Araba";"aartziniega.ascen@ayto.alava.net ";;;;;;;;;"P0100500H";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010040_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Asparrenako Udala / Ayuntamiento de Asparrena";;;;"Herriko Enparantza 1";1250;"Araia";"Araba";"aasparrena.inaki@ayto.alava.net";;;;;;;;;"P0101000H";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010091_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Aiarako Udala / Ayuntamiento de Ayala";;;;"Barrio La Iglesia 2 B";1476;"Respaldiza";"Araba";"secretaria@aiarakoudala.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0101100F";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010105.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Aiarako Eskualdea / Cuadrilla de Ayala";;;;"Bº Elespide 2";1476;"RESPALDIZA";"Araba";"cayala.virginia@ayto.araba.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"G01113406";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L06160006.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Mañuetako Udala / Ayuntamiento de Baños de Ebro";;;;"Plaza del Ayuntamiento 5";1307;"Baños de Ebro - Mainueta";"Araba";"abebro.valentin@ayto.alava.net ";;;;;;;;;"P0101200D";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010112_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Barrundiako Udala / Ayuntamiento de Barrundia";;;;"Plaza del Ayuntamiento 1";1206;"Ozaeta";"Araba";"abarrundia.isabel@ayto.alava.net ";;;;;;;;;"P0101400J";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010133_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Bastidako Udala / Ayuntamiento de Labastida";;;;"Plaza Paz s/n";1330;"Labastida";"Araba";"alabastida@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0103000F";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010284.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Berantevillako Udala / Ayuntamiento de Berantevilla";;;;"Mayor 11 ";1211;"Berantevilla";"Araba";"aberantevilla.dionisio@ayto.alava.net ";;;;;;;;;"P0101500G";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010148_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Bernedoko Udala / Ayuntamiento de Bernedo";;;;"Plaza del Castillo 1";1118;"Bernedo";"Araba";"abernedo.juanjose@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0101700C";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010164.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Kanpezuko Udala / Ayuntamiento de Campezo";;;;"Plaza Samuel Picaza 1";1110;"Santa cruz de Campezo";"Araba";"acampezo@ayto.alava.net ";;;;;;;;;"P0106100A";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010170_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Kanpezuko Arabako Mendialdea Kuadrilla / Cuadrilla de Campezo Monta€a-Alavesa";;;;"Carretera Vitoria-Estella, 7ÿ";1110;"Santa cruz de Campezo";"Araba";"info@montanaalavesa.com";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"G01109651";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L06160005.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Burgeluko Udala / Ayuntamiento de Elburgo";;;;"Avda. Burgelu 17";1192;"Burgelu";"Araba";"aelburgo@ayto.alava.net ";;;;;;;;;"P0102200C ";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010210_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Elciegoko Udala / Ayuntamiento de Elciego";;;;"Plaza Mayor 1 B";1340;"Elciego";"Araba";"aelciego.jramon@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0102300A";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010225.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Gorbeialdeko Kuadrilla / Cuadrilla de Gorbeialdea";;;;"Plaza del Ayuntamiento, 1 - 2 Izq";1130;"Murgia";"Araba";"jon@gorbeialdea.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0100389F";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L06160007.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Bilargo Udala / Ayuntamiento de Elvillar ";;;;"Plaza Santa María 14";1309;"Elvillar";"Araba";"aelvillar.armando@ayto.alava.net ";;;;;;;;;"P0102400I";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010231_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Iruña Okako Udala / Ayuntamiento de Iruña de Oca";;;;"Parque Jose A. Aguirre 1";1230;"Nanclares de la Oca";"Araba";"airuna.valentina@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0104300I";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01019015.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Iruraiz-Gaunako Udala / Ayuntamiento de Iruraiz-Gauna";;;;"Unica 4";1193;"Acilu";"Araba";"airuraiz@ayto.alava.net ";;;;;;;;;"P0102900H";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010278_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Kripango Udala / Ayuntamiento de Kripan";;;;"Plaza Barbacana 1";1308;"Kripan";"Araba";"acripan.armando@ayto.alava.net ";;;;;;;;;"P0102000G";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010199_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Kuartangoko Udala / Ayuntamiento de Kuartango";;;;"Unica";1430;"Kuartango";"Araba";"acuartango.begona@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0102100E";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010203.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Lagrango Udala / Ayuntamiento de Lagran";;;;"Herrería 1";1118;"Lagran";"Araba";"alagran.delia@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0103200B";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010301.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Laguardiako Udala / Ayuntamiento de Laguardia";;;;"Plaza Mayor s/n";1300;"Laguardia";"Araba";"alaguardia.maria@ayto.alava.net ";;;;;;;;;"P0103300J";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010318_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Guardia - Arabako Errioxako Kuadrilla / Cuadrilla de Laguardia - Rioja Alavesa";;;;"CARRETERA VITORIA 2";1300;"LAGUARDIA";"Araba";"claguardia.begona@ayto.araba.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"G01109792";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L06160002.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Lantziegoko Udala / Ayuntamiento de Lanciego";;;;"Plaza de la Iglesia 1";1308;"Lanciego";"Araba";"alanciego.armando@ayto.alava.net ";;;;;;;;;"P0103400H";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010323_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Lantarongo Udala / Ayuntamiento de Lantarón";;;;"Ayuntamiento 2";1213;"Comunión";"Araba";"alantaron.alvaro@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0105400F";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01019020.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Lapuebla de Labarca / Ayuntamiento de Lapuebla de Labarca";;;;"Plaza el plano s/n";1306;"Lapuebla de Labarca";"Araba";"alapuebla@ayto.alava.net ";;;;;;;;;"P0103500E";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010339_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Legutioko Udala / Ayuntamiento de Legutio";;;;"Carmen 10";1170;"Legutiano";"Araba";"info@legutiano.net ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0106700H";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010587.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Lezako Udala / Ayuntamiento de Leza";;;;"Herriko Plaza 1";1309;"Leza";"Araba";"aleza.felix@ayto.alava.net ";;;;;;;;;"P0103600C";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010344_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Laudioko Udala / Ayuntamiento de Llodio";;;;"Herriko Plaza 5";1400;"Llodio";"Araba";"info@laudio.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0103800I";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010360.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Moreda Arabako Udala / Ayuntamiento de Moreda de Álava";;;;"Las Cuevas 2";1314;"Moreda de Álava";"Araba";"amoreda.secretaria@ayto.alava.net ";;;;;;;;;"P0104200A";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010395_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Navaridasko Udala / Ayuntamiento de Navaridas";;;;"Fabulista Samaniego 4";1309;"Navaridas";"Araba";"anavaridas.felix@ayto.alava.net ";;;;;;;;;"P0104400G";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010416_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Okondoko Udala / Ayuntamiento de Okondo";;;;"Zudiviarte 2 1º";1409;"Okondo";"Araba";"aokondo.udala@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0104500D";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010421.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Oyon-Oiongo Udala / Ayuntamiento de Oyón-Oion";;;;"Plaza Mayor 1 ";1320;"Oion";"Araba";"aoyon.idazkari@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0104800H";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010437.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Peñacerrada-Urizaharrako Udala / Ayuntamiento de Peñacerrada-Urizaharra";;;;"Plaza Fray Jacinto 2";1212;"Peñacerrada";"Araba";"apenacerrada.jesus@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0104900F";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010442.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Erriberagoitiako Udala / Ayuntamiento de Ribera Alta";;;;"Unica";1420;"Pobes";"Araba";"aralta.luisa@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0105200J";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010468.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Erribera Beitiako Udala / Ayuntamiento de Ribera Baja";;;;"Plaza San Martín 1";1213;"Rivabellosa";"Araba";"arbaja.francisco@ayto.alava.net ";;;;;;;;;"P0105300H";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010474_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Aguraingo Udala / Ayuntamiento de Salvatierra ";;;;"Zapatari 15";1200;"Salvatierra";"Araba";"aguraingoudala@agurain.com";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0105700I";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010513.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Samaniegoko Udala / Ayuntamiento de Samaniego";;;;"Sor Felicias 1";1307;"Samaniego";"Araba";"asamaniego.valentin@ayto.alava.net ";;;;;;;;;"P0105800G";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010528_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Donemiliagako Udala / Ayuntamiento de San Millán";;;;"Andía 9";1208;"Ordoñana";"Araba";"asanmillan.general@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0105900E";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010534.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Urkabustaizko Udala / Ayuntamiento de Urkabustaiz";;;;"Plaza Municipal 2";1440;"Izarra";"Araba";"info@urkabustaiz.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0106200I";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010549.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Gaubeako Udala / Ayuntamiento de Valdegovía";;;;"Arquitecto J. Guinea";1426;"Villanueva de Valdegov¡a";"Araba";"avaldegovia.olga@ayto.araba.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0106300G";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010552.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Haranako Udala / Ayuntamiento de Valle de Arana";;;;"La carretera 1";1117;"Alda";"Araba";"avarana.rosa@ayto.araba.eus ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0106500B";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010565.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Eskuernagako Udala / Ayuntamiento de Villabuena de Álava";;;;"Herrería 15";1307;"Villabuena";"Araba";"avillabuena.valentin@ayto.alava.net ";;;;;;;;;"P0106600J";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010571_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Iekorako Udala / Ayuntamiento de Yécora";;;;"La Iglesia 2";1322;"Yécora";"Araba";"ayecora.secretaria@ayto.alava.net ";;;;;;;;;"P0106900D";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010604_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Zalduondoko Udala / Ayuntamiento de Zalduondo";;;;"Arbin";1208;"Zalduondo";"Araba";"azalduondo.begona@ayto.alava.net ";;;;;;;;;"P0107000B";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010611_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Zambranako Udala / Ayuntamiento de Zambrana";;;;"Calle del Ayuntamiento 2";1212;"Zambrana";"Araba";"azambrana.mjesus@ayto.alava.net ";;;;;;;;;"P0107100J";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010626_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Zigoitiko Udala / Ayuntamiento de Zigoitia";;;;"Bengolarra, 1";1138;"Ondategi";"Araba";"zigoitia@zigoitia.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0101800A";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010186.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Zuiako Udala / Ayuntamiento de Zuia";;;;"Plaza del Ayuntamiento nº 1  1º";1130;"Murgia";"Araba";"azuia.susana@ayto.araba.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0107200H";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010632.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
"Formato Facturae";;;;;;;;;;;;;;;;;;;;;;;;
0;0;"Ametx Erakunde Autonomoa";;;;"Zelaieta Parkea z/g";48340;"Amorebieta-Etxano";"Bizkaia";"fakturak@ametx.net";;;;;;;;;"Q4800687H";"https://e-udala.amorebieta-etxano.eus/ef4ktur/ametx.xml";"https://e-udala.amorebieta-etxano.eus:8089/sspp/services/sspp ";1;0;"3.2"
0;0;"Amorebieta-Etxanoko Udala";;;;"Herriko plaza z/g";48340;"Amorebieta-Etxano";"Bizkaia";"fakturak@amorebieta.net";;;;;;;;;"P4800300H";"https://e-udala.amorebieta-etxano.eus/ef4ktur/udala.xml";"https://e-udala.amorebieta-etxano.eus:8089/sspp/services/sspp ";1;0;"3.2"
0;0;"AYUNTAMIENTO DE BARAKALDO";;;;"Herriko Plaza";48901;"Barakaldo";"Bizkaia";"ibarturen@barakaldo.org";;;;;;;;;"P4801700H";"http://www.barakaldo.eus/ABfacturae/ef4ktur/AYTO_OficinaOrganoUnidad.xml";"https://webservice.face.gob.es/facturasspp";3;0;"3.2"
0;0;"BARAKALDOKO EUSKARA UDAL ERAKUNDEA";;;;"Herriko Plaza";48901;"Barakaldo";"Bizkaia";"ibarturen@barakaldo.org";;;;;;;;;"P9801701E";"http://www.barakaldo.eus/ABfacturae/ef4ktur/OBEE_OficinaOrganoUnidad.xml";"https://webservice.face.gob.es/facturasspp";3;0;"3.2"
0;0;"ESCUELAS INFANTILES DE BARAKALDO";;;;"Herriko Plaza";48901;"Barakaldo";"Bizkaia";"ibarturen@barakaldo.org";;;;;;;;;"P4800039B";"http://www.barakaldo.eus/ABfacturae/ef4ktur/OEIA_OficinaOrganoUnidad.xml";"https://webservice.face.gob.es/facturasspp";3;0;"3.2"
0;0;"INGURALDE";;;;"Herriko Plaza";48901;"Barakaldo";"Bizkaia";"ibarturen@barakaldo.org";;;;;;;;;"P9801702C";"http://www.barakaldo.eus/ABfacturae/ef4ktur/OING_OficinaOrganoUnidad.xml";"https://webservice.face.gob.es/facturasspp";3;0;"3.2"
0;0;"INSTITUTO MUNICIPAL DE DEPORTES";;;;"Herriko Plaza";48901;"Barakaldo";"Bizkaia";"ibarturen@barakaldo.org";;;;;;;;;"P4800050I";"http://www.barakaldo.eus/ABfacturae/ef4ktur/OIMD_OficinaOrganoUnidad.xml";"https://webservice.face.gob.es/facturasspp";3;0;"3.2"
0;0;"Basauriko Kirolaren Udal Erakundea / Instituto Municipal del Deporte de Basauri";;;;"Artunduaga Auzotegia, z/g";48970;"Basauri";"Bizkaia";"portalproveedor_imd@basauri.net";;;;;;;;;"P9801901A";"https://sv032.basauri.net/ef4ktur/IMD_DIR3.xml";"https://sv032.basauri.net/sspp/services/sspp";1;0;"3.2"
